id,name,text,trans
0000000000000,あさり先生,{user}くん。今回の目標となる\n定期公演について説明しますね。,{user}同学。这次的目标是\n定期公演，我来给你解释一下吧。
0000000000000,あさり先生,初星学園には定期的に行っている\n『初』という公演があるんです。,初星学园定期举办一场\n名为『初』的公演。
0000000000000,あさり先生,中間と最終、\n2回の試験を突破することで、,通过中期和最终\n两次考试后，
0000000000000,あさり先生,『初』に出演することができます。\nただし……,就可以参加『初』的演出。不过……
0000000000000,あさり先生,メインステージでライブをする\n権利を得るためには、,要获得在主舞台上进行\n表演的权利，
0000000000000,あさり先生,厳しい条件を\n満たす必要があるんです。,需要满足严格的\n条件。
0000000000000,あさり先生,最終試験の結果は特に重要です。,尤其是最终考试的成绩非常重要。
0000000000000,あさり先生,さあ、思い浮かべてみてください。,来，想象一下吧。
0000000000000,あさり先生,いくつものハードルを乗り越えた先――,越过重重障碍之后——
0000000000000,あさり先生,きみの担当アイドルが、\n大歓声の中でライブをする姿を。,你的偶像在\n热烈的欢呼声中进行演出的样子。
0000000000000,あさり先生,どうですか？　想像できましたか？,怎么样？ 想象出来了吗？
0000000000000,あさり先生,その光景が現実になるよう、\nがんばっていきましょう。,为了让那个场景成为现实，\n我们一起加油吧。
info,adv_tutorial_first_hski-03.txt,,
译者,gpt-4o-2024-05-13,,
